Variable Name,Field Name,Log Types,PAN-OS Description,Mapping Type,ECS Field,ECS Type,ECS Description
time_generated,Generated Time,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,GTP,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events,Audit",Time the log was generated on the dataplane.,=,@timestamp,date,Date/time when the event originated.
receive_time,Receive Time,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,GTP,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",Time the log was received at the management plane.,=,event.ingested,date,Timestamp when an event arrived in the central data store.
subtype,Threat/Content Type,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,GTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events,Audit","Subtype of traffic log; values are start, end, drop, and deny

Start—session started

End—session ended

Drop—session dropped before the application is identified and there is no rule that allows the session.

Deny—session dropped after the application is identified and there is a rule to block or no rule that allows the session.",,,,
type,Type,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,GTP,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",Specifies the type of log; value is TRAFFIC.,,,,
vsys,Virtual System,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,GTP,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",Virtual System associated with the session.,,,,
device_name,Device Name,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",The hostname of the firewall on which the session was logged.,"=","observer.hostname","keyword","Hostname of the observer."
dg_hier_level_1,,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",,,,,
dg_hier_level_2,,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",,,,,
dg_hier_level_3,,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",,,,,
dg_hier_level_4,,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GlobalProtect,Authentication,SCTP,HIP Match,User ID,IP Tag,Config,System,Correlated Events",,,,,
